"n","p1","p2","r","zero_benchmark","nb_discoveries","nb_real_discoveries","distance_tot","distance_U","distance_V","sinTheta_tot","sinTheta_U","sinTheta_V","prediction_tot","prediction_U","prediction_V","TPR","TNR","FPR","FNR","noise","method","prop_missing","overlapping_amount","n.1","r_pca","exp"
100,50,50,2,2,100,99,2.64610364581803,1.9724152470085,1.7467891646193,8.58759244900072,7.84414776725366,5.12431875951777,3.08883229784106,313.229800590319,313.632163305114,0.303030303030303,1,0.696969696969697,0,1,"CCA-mean",0.1,0,100,0,1
100,50,50,2,2,100,100,2.68888035029621,1.96484773641369,1.82639293424934,8.30900376586515,7.56892401617745,5.16852109421591,3.2524141344821,315.827442373936,334.428064389527,0.3,0,0.7,0,1,"CCA-median",0.1,0,100,0,1
100,50,50,2,2,100,100,2.99842503969787,2.06570197641343,2.15334589248788,6.0611140206921,4.79567061205756,4.56626836011114,3.34274107646595,435.289449418488,446.934650956925,0.3,0,0.7,0,1,"RRR",0.15,0,100,0,1
100,50,50,2,2,100,99,2.89349076415803,2.06284935467655,1.99993713249958,6.93725627602716,5.82835547168848,4.26861925483226,3.1970966398846,413.876143596763,364.052468215746,0.303030303030303,1,0.696969696969697,0,1,"Alt-1e-04",0.15,0,100,0,1
100,50,50,2,2,100,99,2.84298168218956,2.00959023222499,1.95731538900099,6.5298014618131,5.63181141679259,4.22216300680472,2.97371353026934,383.563547298445,343.662989057713,0.292929292929293,0,0.707070707070707,0.0333333333333333,1,"Alt-5e-04",0.15,0,100,0,1
100,50,50,2,2,100,98,2.77316672894021,1.93607197604108,1.89849444154728,5.84219405259201,5.21839565475605,4.17423127152936,2.67208846826214,348.354964604337,328.646219356249,0.285714285714286,0,0.714285714285714,0.0666666666666667,1,"Alt-0.001",0.15,0,100,0,1
100,50,50,2,2,100,91,2.46422629447847,1.6929813715354,1.71034597689472,3.52687210639455,3.74876116792495,3.46779179648639,1.97911262204615,275.748675824819,274.133394630968,0.307692307692308,0.777777777777778,0.692307692307692,0.0666666666666667,1,"Alt-0.005",0.15,0,100,0,1
100,50,50,2,2,100,86,2.36362373154303,1.61993529002013,1.67808260877136,2.95766863086985,3.33616973221078,3.18775264917289,1.73937961631477,257.601664922088,266.443029640924,0.290697674418605,0.642857142857143,0.709302325581395,0.166666666666667,1,"Alt-0.01",0.15,0,100,0,1
100,50,50,2,2,100,64,2.07596234105921,1.43629096012815,1.45816046688606,2.45296363852044,3.05645589553207,2.51887276316372,1.16445737336609,216.847126577175,219.876434426603,0.359375,0.805555555555556,0.640625,0.233333333333333,1,"Alt-0.05",0.15,0,100,0,1
100,50,50,2,2,100,46,2.05850899635901,1.42219519883318,1.45032645099245,2.27451746879706,2.7768874548918,2.58374325540795,0.986666989771605,205.561517292171,218.816832984454,0.391304347826087,0.777777777777778,0.608695652173913,0.4,1,"Alt-0.1",0.15,0,100,0,1
100,50,50,2,2,100,4,2.37963864016684,1.71734702587766,1.64243972065268,3.34045851231449,3.06241689817304,3.01336125476121,1.41079301825959,278.230060112254,238.95131101987,0.5,0.708333333333333,0.5,0.933333333333333,1,"Alt-0.5",0.15,0,100,0,1
100,50,50,2,2,100,100,3.22578480487671,2.28144336858346,2.25308282788764,7.63460880134108,6.39048656797745,4.9644003299517,4.299038738101,511.112438253174,473.035266468858,0.3,0,0.7,0,1,"CCA-mean",0.15,0,100,0,1
100,50,50,2,2,100,100,3.17231185515655,2.22493945706358,2.24120430073904,7.25743374932047,5.89596108130379,5.01462395587682,4.21183653709999,475.452116820895,468.728144939709,0.3,0,0.7,0,1,"CCA-median",0.15,0,100,0,1
100,50,50,2,2,100,100,3.03148796326661,2.084322816359,2.14638704975708,7.87581470863598,4.96209470811072,5.08424857752947,3.8300967347025,366.296631118081,506.669419366421,0.3,0,0.7,0,1,"RRR",0.2,0,100,0,1
100,50,50,2,2,100,100,2.93640603438482,2.14326940865904,1.99970917501505,6.06208604000497,4.53504008386671,4.58986504944389,3.26603130376406,395.65373063553,336.524436438289,0.3,0,0.7,0,1,"Alt-1e-04",0.2,0,100,0,1
100,50,50,2,2,100,100,2.9392653786105,2.12150161563863,2.01352340898202,5.78892506748667,4.41444965578236,4.50584312729586,3.20796409780228,384.777208118916,340.127494530787,0.3,0,0.7,0,1,"Alt-5e-04",0.2,0,100,0,1
100,50,50,2,2,100,100,3.0028001685574,2.1276961127979,2.11736879607598,6.13216045843911,4.24759940335179,4.39075089904924,3.8639415841117,477.836328108415,397.061318004348,0.3,0,0.7,0,1,"Alt-0.001",0.2,0,100,0,1
